BL time,	0.132
anova time,	0.001
shap time,	52.246
rlf time,	2.992
---------------------
Number of features selected by BL, 3
BL features,	Spout_wait, Spliters, Counters
shap features,	Spout_wait, Spliters, Counters
anova features,	Spout_wait, Spliters, Counters
rlf features,	Spout_wait, Spliters, Counters
---------------------
linear time, 4.845
rf time, 26.969
svr time, 5.535
ann time, 26.543
lgbm time, 7.159
#
 0,                    ann,BL, 79.00,  8.00,   ------  *   ------|-----------------  
 0,                  ann,SHAP, 79.00,  3.00,    ------ *-------  |                   
 0,                 ann,anova, 79.00,  6.00,       --- *   ------|                   
 0,                 linear,BL, 80.00,  7.00,       --  *   ------|---                
 0,               linear,SHAP, 80.00,  7.00,       --  *   ------|---                
 0,                linear,RLF, 80.00,  7.00,       --  *   ------|---                
 0,                linear,all, 80.00,  7.00,       --  *   ------|---                
 0,              linear,anova, 80.00,  7.00,       --  *   ------|---                
 0,                   ann,RLF, 80.00,  6.00,       --- *   ------|-                  
#
 1,                   ann,all, 81.00,  8.00,    ----    * -------|-----------------  
#
 2,                    svr,BL, 84.00,  2.00,           --- *-----|-----------------  
 2,                  svr,SHAP, 84.00,  2.00,           --- *-----|-----------------  
 2,                   svr,RLF, 84.00,  2.00,           --- *-----|-----------------  
 2,                   svr,all, 84.00,  2.00,           --- *-----|-----------------  
 2,                 svr,anova, 84.00,  2.00,           --- *-----|-----------------  
 2,                   lgbm,BL, 84.00,  4.00,          ---- * ----|-----------------  
 2,                 lgbm,SHAP, 84.00,  4.00,          ---- * ----|-----------------  
 2,                  lgbm,RLF, 84.00,  4.00,          ---- * ----|-----------------  
 2,                  lgbm,all, 84.00,  4.00,          ---- * ----|-----------------  
 2,                lgbm,anova, 84.00,  4.00,          ---- * ----|-----------------  
#
 3,                     rf,BL, 87.00,  3.00,           ----  *---|-----------------  
 3,                   rf,SHAP, 87.00,  3.00,           ----  *---|-----------------  
 3,                    rf,RLF, 87.00,  3.00,           ----  *---|-----------------  
 3,                    rf,all, 87.00,  3.00,           ----  *---|-----------------  
 3,                  rf,anova, 87.00,  3.00,           ----  *---|-----------------  
